Latitude,Longitude,Rainfall,MaxTemp,MinTemp
14.75,76.5,0.0,29.504189,15.380863
14.75,76.75,0.0,29.504189,15.380863
14.75,77.0,0.0,29.504189,15.380863
14.75,77.25,0.0,29.625368,16.833265
14.75,77.5,0.0,29.625368,16.833265
14.75,77.75,0.0,29.625368,16.833265
14.75,78.0,0.0,29.625368,16.833265
14.75,78.25,0.0,29.675177,18.829872
14.75,78.5,0.0,29.675177,18.829872
14.75,78.75,0.0,29.675177,18.829872
14.75,79.0,0.0,29.675177,18.829872
14.75,79.25,0.0,30.22757,20.714836
14.75,79.5,0.0,30.22757,20.714836
14.75,79.75,0.0,30.22757,20.714836
14.75,80.0,0.0,30.22757,20.714836
15.0,74.25,0.0,31.76469,18.712584
15.0,74.5,0.0,31.76469,18.712584
15.0,74.75,0.0,31.76469,18.712584
15.0,75.0,0.0,31.76469,18.712584
15.0,75.25,0.0,30.543926,16.450155
15.0,75.5,0.0,30.543926,16.450155
15.0,75.75,0.0,30.543926,16.450155
15.0,76.0,0.0,30.543926,16.450155
15.0,76.25,0.0,29.504189,15.380863
15.0,76.5,0.0,29.504189,15.380863
15.0,76.75,0.0,29.504189,15.380863
15.0,77.0,0.0,29.504189,15.380863
15.0,77.25,0.0,29.625368,16.833265
15.0,77.5,0.0,29.625368,16.833265
15.0,77.75,0.0,29.625368,16.833265
15.0,78.0,0.0,29.625368,16.833265
15.0,78.25,0.0,29.675177,18.829872
15.0,78.5,0.0,29.675177,18.829872
15.0,78.75,0.0,29.675177,18.829872
15.0,79.0,0.0,29.675177,18.829872
15.0,79.25,0.0,30.22757,20.714836
15.0,79.5,0.0,30.22757,20.714836
15.0,79.75,0.0,30.22757,20.714836
15.0,80.0,0.0,30.22757,20.714836
15.25,73.75,0.0,32.152462,19.479982
15.25,74.0,0.0,32.152462,19.479982
15.25,74.25,0.0,31.878073,19.160833
15.25,74.5,0.0,31.878073,19.160833
15.25,74.75,0.0,31.878073,19.160833
15.25,75.0,0.0,31.878073,19.160833
15.25,75.25,0.0,31.017796,17.177559
15.25,75.5,0.0,31.017796,17.177559
15.25,75.75,0.0,31.017796,17.177559
15.25,76.0,0.0,31.017796,17.177559
15.25,76.25,0.0,30.639795,17.28523
15.25,76.5,0.0,30.639795,17.28523
15.25,76.75,0.0,30.639795,17.28523
15.25,77.0,0.0,30.639795,17.28523
15.25,77.25,0.0,30.910233,17.664991
15.25,77.5,0.0,30.910233,17.664991
15.25,77.75,0.0,30.910233,17.664991
15.25,78.0,0.0,30.910233,17.664991
15.25,78.25,0.0,31.631392,19.271833
15.25,78.5,0.0,31.631392,19.271833
15.25,78.75,0.0,31.631392,19.271833
15.25,79.0,0.0,31.631392,19.271833
15.25,79.25,0.0,31.217031,20.05269
15.25,79.5,0.0,31.217031,20.05269
15.25,79.75,0.0,31.217031,20.05269
15.25,80.0,0.0,31.217031,20.05269
15.5,73.75,0.0,32.152462,19.479982
15.5,74.0,0.0,32.152462,19.479982
15.5,74.25,0.0,31.878073,19.160833
15.5,74.5,0.0,31.878073,19.160833
15.5,74.75,0.0,31.878073,19.160833
15.5,75.0,0.0,31.878073,19.160833
15.5,75.25,0.0,31.017796,17.177559
15.5,75.5,0.0,31.017796,17.177559
15.5,75.75,0.0,31.017796,17.177559
15.5,76.0,0.0,31.017796,17.177559
15.5,76.25,0.0,30.639795,17.28523
15.5,76.5,0.0,30.639795,17.28523
15.5,76.75,0.0,30.639795,17.28523
15.5,77.0,0.0,30.639795,17.28523
15.5,77.25,0.0,30.910233,17.664991
15.5,77.5,0.0,30.910233,17.664991
15.5,77.75,0.0,30.910233,17.664991
15.5,78.0,0.0,30.910233,17.664991
15.5,78.25,0.0,31.631392,19.271833
15.5,78.5,0.0,31.631392,19.271833
15.5,78.75,0.0,31.631392,19.271833
15.5,79.0,0.0,31.631392,19.271833
15.5,79.25,0.0,31.217031,20.05269
15.5,79.5,0.0,31.217031,20.05269
15.5,79.75,0.0,31.217031,20.05269
15.5,80.0,0.0,31.217031,20.05269
